-3.575,4.275,-0.347,2.323,-8.774,2.768,2.575,3.387,7.423,3.543,-1.911,-2.697,3.967,-7.670,4.173,2
-5.952,-8.888,2.995,-6.574,-6.735,-2.102,7.047,-7.137,7.604,-6.448,8.780,-1.326,9.436,2.998,4.276,4
3.619,-5.111,-8.919,-4.708,-0.241,0.408,-1.743,8.973,-7.870,-4.759,-6.218,1.297,-5.940,-1.263,-5.455,3
1.555,4.813,0.559,2.249,-1.568,2.597,-1.350,8.165,10.022,-2.845,5.279,0.013,-1.077,8.703,-10.645,0
-3.867,6.387,-0.841,1.787,-9.469,2.519,2.384,1.601,7.834,4.624,-1.506,-1.543,2.517,-11.078,3.737,2
4.326,-5.194,-6.164,-3.960,-2.865,1.680,-2.609,7.557,-7.583,-6.321,-7.587,3.382,-4.291,-1.797,-5.955,3
-6.826,-9.171,2.559,-9.085,-8.375,-3.487,6.723,-8.281,7.686,-8.389,9.108,-1.382,9.682,1.353,4.424,4
-9.380,-9.774,5.488,6.038,7.887,10.218,6.527,-1.920,4.955,-6.567,2.007,-4.771,9.192,1.017,-2.041,1
-4.588,7.386,-1.768,3.401,-11.397,1.031,2.831,3.499,9.812,1.941,-2.465,-1.075,3.677,-9.903,1.861,2
-5.447,4.727,-1.389,1.148,-8.647,2.058,1.556,3.417,7.491,3.735,-2.471,1.191,3.375,-7.960,3.585,2
-7.885,-8.042,5.946,6.439,8.046,8.671,6.955,-0.810,5.120,-8.037,3.400,-9.371,8.670,0.769,-0.048,1
-5.639,-6.771,3.904,-6.805,-8.816,-3.134,5.842,-7.871,8.288,-7.845,6.909,0.285,10.108,1.504,4.872,4
-5.081,5.365,-1.095,2.741,-8.545,1.197,2.234,3.655,9.319,3.630,-3.287,-1.628,4.701,-8.361,2.189,2
3.155,-5.510,-8.038,-5.063,-2.570,0.027,0.132,10.100,-7.677,-6.606,-6.089,5.155,-5.609,-1.618,-6.220,3
0.973,3.485,2.675,2.071,-2.139,4.493,-1.537,6.924,8.871,-1.449,5.922,-0.472,0.434,8.773,-8.532,0
-4.855,6.265,0.248,1.459,-9.039,2.735,2.406,2.410,10.611,2.799,-2.789,-2.420,3.309,-8.400,4.297,2
